Username,Username_Follower,Num_Followers,First_Digit
teeli__peachmuffin,manal.alharbi92,10000,1
teeli__peachmuffin,obee_gh,16000,1
teeli__peachmuffin,francescosantonicola,7662,7
teeli__peachmuffin,sdkdele,337000,3
teeli__peachmuffin,appledealergh,112000,1
teeli__peachmuffin,mickeyjohnson_jpeg,9089,9
teeli__peachmuffin,ann_marria_,12400,1
teeli__peachmuffin,neeta_skincaregh,19300,1
teeli__peachmuffin,faustinaadoma37,1314,1
teeli__peachmuffin,drlaff_,29800,2
teeli__peachmuffin,the_lady_233,1245,1
teeli__peachmuffin,salimus_natuers_balance,18,1
teeli__peachmuffin,nanateampee,201,2
teeli__peachmuffin,reboundafrica,943,9
teeli__peachmuffin,diopniasse,78,7
teeli__peachmuffin,djshinedabeast_,18800,1
teeli__peachmuffin,dimesnco,29900,2
teeli__peachmuffin,yanerta,892,8
teeli__peachmuffin,icegodkody,2003,2
teeli__peachmuffin,ohemaa_baakope1,1508,1
teeli__peachmuffin,_madamshe,12000,1
teeli__peachmuffin,itsdamihere,8,8
teeli__peachmuffin,dzi__dzor,37,3
teeli__peachmuffin,sahadalj,1033,1
teeli__peachmuffin,joaokialapk,156,1
teeli__peachmuffin,shopbloomm,8359,8
teeli__peachmuffin,morri_rinna,1796,1
teeli__peachmuffin,lunabatclothing,372,3
teeli__peachmuffin,yaamonnies_hair,1536,1
teeli__peachmuffin,breakvicks,4345,4
teeli__peachmuffin,a__koto,6032,6
teeli__peachmuffin,teddyyoung9,923,9
teeli__peachmuffin,officialdeeliciouseats,102,1
teeli__peachmuffin,wosee_,1867,1
teeli__peachmuffin,fiorellaludocioc,0,0
teeli__peachmuffin,mamatiiskitchen,4411,4
teeli__peachmuffin,degraft_vanessa,1385,1
teeli__peachmuffin,ghanaman_tv,1048,1
teeli__peachmuffin,conny_winner,20000,2
teeli__peachmuffin,slippers__hub,3022,3
teeli__peachmuffin,cradleandcuddles_co,222,2
teeli__peachmuffin,mim_iscloset,104,1
teeli__peachmuffin,elianita_250,1927,1
teeli__peachmuffin,zelle_allure,2021,2
teeli__peachmuffin,bkays_fashionhub_,2806,2
teeli__peachmuffin,theplushhub,3867,3
teeli__peachmuffin,_mzasiedu_,604,6
teeli__peachmuffin,iam_nayaa_gh,954,9
teeli__peachmuffin,desirenexx,1873,1
teeli__peachmuffin,exocolorbeautygh,97,9
